ANO,DS_CURSO,DS_INDUSTRIAL,CD_UF,VL_MATRICULAS,VL_CONCLUINTES,DS_SEXO
2019,Formação de professores em áreas específicas (exceto Letras),Não,31,28570.0,4654.0,Masculino
2014,Setor militar e de defesa,Não,53,37.0,0.0,Masculino
2015,"Promoção, prevenção, terapia e reabilitação",Não,41,7071.0,1159.0,Masculino
2012,"Têxteis (vestuário, calçados e couro)",Sim,31,9.0,0.0,Masculino
2014,Eletrônica e automação,Sim,13,1933.0,161.0,Masculino
2014,Eletrônica e automação,Sim,41,5240.0,503.0,Masculino
2014,Eletrônica e automação,Sim,27,375.0,3.0,Masculino
2015,Matemática,Não,24,22.0,2.0,Masculino
2019,Matemática,Não,33,662.0,42.0,Masculino
2020,Matemática,Não,51,3.0,0.0,Masculino
2010,Formação de professores de letras,Não,24,1059.0,120.0,Masculino
2017,Formação de professores de letras,Não,17,259.0,32.0,Masculino
2018,Ciência da computação,Sim,33,4933.0,339.0,Masculino
2020,Ciência da computação,Sim,13,735.0,93.0,Masculino
2010,Gestão comercial,Não,26,219.0,24.0,Masculino
2010,Gestão e desenvolvimento de sistemas de informação,Sim,35,43997.0,6426.0,Masculino
2014,Medicina e terapia tradicional e complementar,Não,52,13.0,4.0,Masculino
2016,Engenharia química e de processos,Sim,23,283.0,16.0,Masculino
2018,Engenharia química e de processos,Sim,52,97.0,6.0,Masculino
2018,Marketing e propaganda,Não,12,56.0,10.0,Masculino
2019,Serviços de transporte,Não,35,2140.0,355.0,Masculino
2010,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",Não,35,2840.0,11.0,Masculino
2019,Química,Sim,29,160.0,15.0,Masculino
2012,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",Sim,53,108.0,0.0,Masculino
2020,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",Sim,35,2937.0,402.0,Masculino
2014,Desenvolvimento de sistemas que integram software e hardware,Sim,31,1221.0,113.0,Masculino
2018,Desenvolvimento de sistemas que integram software e hardware,Sim,26,428.0,17.0,Masculino
2010,Proteção de pessoas e de propriedades,Não,16,17.0,2.0,Masculino
2010,Letras,Não,32,8.0,0.0,Masculino
2012,"Produção agrícola, agropecuária e zootecnia",Não,24,443.0,73.0,Masculino
2014,Música e artes cênicas,Não,50,17.0,5.0,Masculino
2017,Música e artes cênicas,Não,25,242.0,46.0,Masculino
2016,Psicologia,Não,23,2134.0,177.0,Masculino
2018,"Programas interdisciplinares abrangendo negócios, administração e direito",Não,25,6.0,0.0,Masculino
2011,Formação de professores sem áreas específicas,Não,15,2641.0,431.0,Masculino
2016,Formação de professores sem áreas específicas,Não,11,1120.0,204.0,Masculino
2017,Formação de professores sem áreas específicas,Não,53,1097.0,192.0,Masculino
2017,"Moda, design de interiores e desenho industrial",Sim,25,316.0,64.0,Masculino
2019,"Moda, design de interiores e desenho industrial",Sim,33,1940.0,229.0,Masculino
2011,Eletricidade e energia,Sim,12,173.0,0.0,Masculino
2016,Processamento de alimentos,Sim,32,46.0,6.0,Masculino
2018,Processamento de alimentos,Sim,11,22.0,2.0,Masculino
2020,Processamento de alimentos,Sim,21,278.0,37.0,Masculino
2013,Horticultura,Não,50,0.0,0.0,Masculino
2020,Belas artes,Não,51,3.0,0.0,Masculino
2016,Ciências sociais e políticas,Não,31,1809.0,273.0,Masculino
2020,Soluções computacionais para domínios específicos,Sim,51,95.0,0.0,Masculino
2020,"Programas interdisciplinares abrangendo ciências sociais, comunicação e informação",Não,28,4.0,0.0,Masculino
2011,Serviços de alimentação,Sim,53,300.0,73.0,Masculino
2013,Pesca,Não,29,200.0,3.0,Masculino
2013,Pesca,Não,41,185.0,26.0,Masculino
2017,Pesca,Não,11,53.0,5.0,Masculino
2018,Pesca,Não,50,62.0,1.0,Masculino
2013,Contabilidade e tributação,Não,35,27505.0,4008.0,Masculino
2014,Contabilidade e tributação,Não,28,1280.0,135.0,Masculino
2018,Contabilidade e tributação,Não,35,29453.0,4197.0,Masculino
2019,Esportes e lazer,Não,15,4.0,2.0,Masculino
2010,Silvicultura,Não,50,62.0,0.0,Masculino
2020,Silvicultura,Não,42,241.0,31.0,Masculino
2020,Silvicultura,Não,29,187.0,22.0,Masculino
2010,Ciência da informação e museologia,Não,11,17.0,0.0,Masculino
2013,Ciência da informação e museologia,Não,25,428.0,28.0,Masculino
2010,Arquitetura e planejamento urbano,Sim,52,685.0,52.0,Masculino
2014,Arquitetura e planejamento urbano,Sim,51,1295.0,74.0,Masculino
2015,Arquitetura e planejamento urbano,Sim,31,4975.0,400.0,Masculino
2015,Arquitetura e planejamento urbano,Sim,52,1555.0,102.0,Masculino
2018,Arquitetura e planejamento urbano,Sim,14,94.0,11.0,Masculino
2015,Filosofia e ética,Não,43,473.0,62.0,Masculino
2020,Filosofia e ética,Não,51,27.0,0.0,Masculino
2018,Tecnologia de diagnóstico e tratamento médico,Não,14,19.0,0.0,Masculino
2019,Infraestrutura e gestão de TIC,Sim,26,1178.0,203.0,Masculino
2020,Programas interdisciplinares abrangendo saúde e bem-estar,Não,28,0.0,0.0,Masculino
2020,Farmácia,Não,16,267.0,24.0,Masculino
2011,Saúde e segurança no trabalho,Sim,22,53.0,0.0,Masculino
2016,Ciências ambientais,Não,16,133.0,12.0,Masculino
2012,Comunicação e reportagem,Não,12,130.0,4.0,Masculino
2010,Direito,Não,41,21525.0,2937.0,Feminino
2010,Direito,Não,21,5273.0,581.0,Feminino
2012,Direito,Não,23,11417.0,1278.0,Feminino
2013,Direito,Não,31,51833.0,6643.0,Feminino
2016,Direito,Não,42,19607.0,2620.0,Feminino
2010,Mineração e extração,Não,13,295.0,5.0,Feminino
2011,Mineração e extração,Não,15,67.0,17.0,Feminino
2020,Mineração e extração,Não,NA,0.0,0.0,Feminino
2014,Biologia,Não,14,199.0,43.0,Feminino
2019,Biologia,Não,35,6875.0,1059.0,Feminino
2011,"Finanças, bancos e seguros",Não,27,85.0,19.0,Feminino
2016,"Finanças, bancos e seguros",Não,53,612.0,134.0,Feminino
2019,"Finanças, bancos e seguros",Não,27,88.0,24.0,Feminino
2019,Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Não,43,84.0,5.0,Feminino
2013,Secretariado e trabalhos de escritório,Não,26,623.0,163.0,Feminino
2020,Religião e teologia,Não,41,1047.0,144.0,Feminino
2020,Religião e teologia,Não,43,490.0,55.0,Feminino
2016,Medicina,Não,51,1105.0,104.0,Feminino
2018,Engenharia civil e construção,Sim,51,2451.0,364.0,Feminino
2015,Serviços de beleza,Não,51,2012.0,442.0,Feminino
2015,Engenharia mecânica e metalurgia,Sim,24,108.0,17.0,Feminino
2019,Engenharia mecânica e metalurgia,Sim,26,430.0,50.0,Feminino
2019,Estatística,Não,23,116.0,8.0,Feminino
2020,Estatística,Não,53,111.0,13.0,Feminino
2020,Materiais,Sim,26,115.0,7.0,Feminino
2013,"Produção audiovisual, de mídia e cultural",Não,28,89.0,7.0,Feminino
2019,Tecnologia de proteção ambiental,Sim,NA,6.0,0.0,Feminino
2020,História e arqueologia,Não,28,76.0,6.0,Feminino
2017,Enfermagem,Não,43,10950.0,1327.0,Feminino
2018,Assistência a idosos e a deficientes,Não,NA,0.0,0.0,Feminino
2020,Assistência a idosos e a deficientes,Não,51,19.0,1.0,Feminino
2013,Serviço social,Não,41,4075.0,685.0,Feminino
2013,Serviço social,Não,42,2583.0,442.0,Feminino
2017,Ciências da terra,Sim,29,281.0,45.0,Feminino
2010,Formação de professores em áreas específicas (exceto Letras),Não,13,8742.0,1132.0,Feminino
2013,Formação de professores em áreas específicas (exceto Letras),Não,35,49404.0,9675.0,Feminino
2018,Formação de professores em áreas específicas (exceto Letras),Não,22,11311.0,1874.0,Feminino
2018,Formação de professores em áreas específicas (exceto Letras),Não,43,21088.0,3088.0,Feminino
2019,Formação de professores em áreas específicas (exceto Letras),Não,31,28508.0,5482.0,Feminino
2014,Setor militar e de defesa,Não,53,13.0,0.0,Feminino
2015,"Promoção, prevenção, terapia e reabilitação",Não,41,12938.0,2189.0,Feminino
2012,"Têxteis (vestuário, calçados e couro)",Sim,31,2.0,0.0,Feminino
2014,Eletrônica e automação,Sim,13,298.0,20.0,Feminino
2014,Eletrônica e automação,Sim,41,649.0,31.0,Feminino
2014,Eletrônica e automação,Sim,27,171.0,16.0,Feminino
2015,Matemática,Não,24,9.0,2.0,Feminino
2019,Matemática,Não,33,267.0,13.0,Feminino
2020,Matemática,Não,51,4.0,0.0,Feminino
2010,Formação de professores de letras,Não,24,2302.0,319.0,Feminino
2017,Formação de professores de letras,Não,17,980.0,171.0,Feminino
2018,Ciência da computação,Sim,33,693.0,56.0,Feminino
2020,Ciência da computação,Sim,13,116.0,17.0,Feminino
2010,Gestão comercial,Não,26,167.0,27.0,Feminino
2010,Gestão e desenvolvimento de sistemas de informação,Sim,35,9923.0,1691.0,Feminino
2014,Medicina e terapia tradicional e complementar,Não,52,29.0,8.0,Feminino
2016,Engenharia química e de processos,Sim,23,235.0,21.0,Feminino
2018,Engenharia química e de processos,Sim,52,67.0,8.0,Feminino
2018,Marketing e propaganda,Não,12,25.0,1.0,Feminino
2019,Serviços de transporte,Não,35,544.0,86.0,Feminino
2010,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",Não,35,1203.0,5.0,Feminino
2019,Química,Sim,29,189.0,26.0,Feminino
2012,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",Sim,53,21.0,0.0,Feminino
2020,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",Sim,35,406.0,55.0,Feminino
2014,Desenvolvimento de sistemas que integram software e hardware,Sim,31,255.0,25.0,Feminino
2018,Desenvolvimento de sistemas que integram software e hardware,Sim,26,64.0,3.0,Feminino
2010,Proteção de pessoas e de propriedades,Não,16,2.0,0.0,Feminino
2010,Letras,Não,32,23.0,0.0,Feminino
2012,"Produção agrícola, agropecuária e zootecnia",Não,24,458.0,70.0,Feminino
2014,Música e artes cênicas,Não,50,13.0,8.0,Feminino
2017,Música e artes cênicas,Não,25,73.0,10.0,Feminino
2016,Psicologia,Não,23,9050.0,802.0,Feminino
2018,"Programas interdisciplinares abrangendo negócios, administração e direito",Não,25,2.0,0.0,Feminino
2011,Formação de professores sem áreas específicas,Não,15,13667.0,2288.0,Feminino
2016,Formação de professores sem áreas específicas,Não,11,8406.0,1887.0,Feminino
2017,Formação de professores sem áreas específicas,Não,53,12191.0,2580.0,Feminino
2017,"Moda, design de interiores e desenho industrial",Sim,25,863.0,147.0,Feminino
2019,"Moda, design de interiores e desenho industrial",Sim,33,4507.0,671.0,Feminino
2011,Eletricidade e energia,Sim,12,32.0,0.0,Feminino
2016,Processamento de alimentos,Sim,32,86.0,12.0,Feminino
2018,Processamento de alimentos,Sim,11,36.0,6.0,Feminino
2020,Processamento de alimentos,Sim,21,534.0,103.0,Feminino
2013,Horticultura,Não,50,0.0,0.0,Feminino
2020,Belas artes,Não,51,6.0,0.0,Feminino
2016,Ciências sociais e políticas,Não,31,2241.0,353.0,Feminino
2020,Soluções computacionais para domínios específicos,Sim,51,18.0,0.0,Feminino
2020,"Programas interdisciplinares abrangendo ciências sociais, comunicação e informação",Não,28,1.0,0.0,Feminino
2011,Serviços de alimentação,Sim,53,367.0,123.0,Feminino
2013,Pesca,Não,29,172.0,0.0,Feminino
2013,Pesca,Não,41,117.0,12.0,Feminino
2017,Pesca,Não,11,49.0,6.0,Feminino
2018,Pesca,Não,50,40.0,2.0,Feminino
2013,Contabilidade e tributação,Não,35,41700.0,6238.0,Feminino
2014,Contabilidade e tributação,Não,28,1546.0,155.0,Feminino
2018,Contabilidade e tributação,Não,35,41074.0,6935.0,Feminino
2019,Esportes e lazer,Não,15,1.0,1.0,Feminino
2010,Silvicultura,Não,50,83.0,0.0,Feminino
2020,Silvicultura,Não,42,229.0,26.0,Feminino
2020,Silvicultura,Não,29,250.0,31.0,Feminino
2010,Ciência da informação e museologia,Não,11,50.0,0.0,Feminino
2013,Ciência da informação e museologia,Não,25,792.0,66.0,Feminino
2010,Arquitetura e planejamento urbano,Sim,52,1288.0,113.0,Feminino
2014,Arquitetura e planejamento urbano,Sim,51,2341.0,167.0,Feminino
2015,Arquitetura e planejamento urbano,Sim,31,11119.0,875.0,Feminino
2015,Arquitetura e planejamento urbano,Sim,52,3237.0,247.0,Feminino
2018,Arquitetura e planejamento urbano,Sim,14,146.0,16.0,Feminino
2015,Filosofia e ética,Não,43,231.0,20.0,Feminino
2020,Filosofia e ética,Não,51,17.0,1.0,Feminino
2018,Tecnologia de diagnóstico e tratamento médico,Não,14,94.0,0.0,Feminino
2019,Infraestrutura e gestão de TIC,Sim,26,196.0,17.0,Feminino
2020,Programas interdisciplinares abrangendo saúde e bem-estar,Não,28,1.0,0.0,Feminino
2020,Farmácia,Não,16,488.0,23.0,Feminino
2011,Saúde e segurança no trabalho,Sim,22,38.0,0.0,Feminino
2016,Ciências ambientais,Não,16,137.0,10.0,Feminino
2012,Comunicação e reportagem,Não,12,160.0,8.0,Feminino
2011,Direito,Não,NA,0.0,0.0,Feminino
2014,Direito,Não,53,16670.0,2253.0,Feminino
2018,Mineração e extração,Não,43,241.0,29.0,Feminino
2014,Gestão e administração,Não,25,7539.0,961.0,Feminino
2014,Economia,Não,26,688.0,54.0,Feminino
2015,Economia,Não,16,0.0,0.0,Feminino
2020,Economia,Não,52,361.0,55.0,Feminino
2017,"Finanças, bancos e seguros",Não,22,28.0,4.0,Feminino
2020,"Finanças, bancos e seguros",Não,32,331.0,80.0,Feminino
2018,Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Não,26,0.0,0.0,Feminino
2019,Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Não,32,0.0,0.0,Feminino
2019,Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Não,22,0.0,0.0,Feminino
2015,Secretariado e trabalhos de escritório,Não,35,3587.0,834.0,Feminino
2015,Secretariado e trabalhos de escritório,Não,27,47.0,13.0,Feminino
2013,Religião e teologia,Não,42,76.0,7.0,Feminino
2019,Religião e teologia,Não,22,122.0,24.0,Feminino
2010,Medicina,Não,16,17.0,0.0,Feminino
2018,Engenharia civil e construção,Sim,53,1895.0,356.0,Feminino
2020,Engenharia civil e construção,Sim,23,2272.0,277.0,Feminino
2015,Serviços de beleza,Não,52,1682.0,368.0,Feminino
2016,Serviços de beleza,Não,14,49.0,29.0,Feminino
2017,Serviços de beleza,Não,26,1041.0,145.0,Feminino
2010,Engenharia mecânica e metalurgia,Sim,52,150.0,33.0,Feminino
2014,Engenharia mecânica e metalurgia,Sim,28,41.0,1.0,Feminino
2016,Engenharia mecânica e metalurgia,Sim,26,412.0,16.0,Feminino
2017,Engenharia mecânica e metalurgia,Sim,27,47.0,5.0,Feminino
2020,Saúde pública e saúde coletiva,Não,43,176.0,7.0,Feminino
2013,Materiais,Sim,25,203.0,17.0,Feminino
2011,Tecnologia de proteção ambiental,Sim,12,440.0,83.0,Feminino
2010,Odontologia,Não,35,8214.0,1417.0,Feminino
2011,Odontologia,Não,25,1002.0,87.0,Feminino
2015,Odontologia,Não,31,9416.0,1230.0,Feminino
2015,Odontologia,Não,51,1432.0,176.0,Feminino
2018,Odontologia,Não,31,12590.0,1899.0,Feminino
2019,Odontologia,Não,53,2617.0,379.0,Feminino
2019,Enfermagem,Não,26,12881.0,1439.0,Feminino
2020,Enfermagem,Não,41,10142.0,1367.0,Feminino
2010,Serviço social,Não,13,5553.0,843.0,Feminino
2016,Serviço social,Não,32,2452.0,502.0,Feminino
2011,Ciências da terra,Sim,41,184.0,27.0,Feminino
2013,Ciências da terra,Sim,42,234.0,19.0,Feminino
2015,Formação de professores em áreas específicas (exceto Letras),Não,51,6186.0,845.0,Feminino
2015,Formação de professores em áreas específicas (exceto Letras),Não,52,9102.0,1499.0,Feminino
2013,"Promoção, prevenção, terapia e reabilitação",Não,33,15355.0,1943.0,Feminino
2016,"Promoção, prevenção, terapia e reabilitação",Não,24,5881.0,812.0,Feminino
2017,"Promoção, prevenção, terapia e reabilitação",Não,25,8911.0,1261.0,Feminino
2014,"Têxteis (vestuário, calçados e couro)",Sim,42,117.0,19.0,Feminino
2016,"Têxteis (vestuário, calçados e couro)",Sim,41,167.0,21.0,Feminino
2020,Formação de professores de educação infantil,Não,31,132.0,14.0,Feminino
2016,Matemática,Não,26,18.0,2.0,Feminino
2018,Matemática,Não,29,39.0,6.0,Feminino
2020,Matemática,Não,43,108.0,4.0,Feminino
2020,Matemática,Não,52,42.0,3.0,Feminino
2015,Ciência da computação,Sim,16,18.0,1.0,Feminino
2018,Ciência da computação,Sim,11,20.0,0.0,Feminino
2010,Gestão e desenvolvimento de sistemas de informação,Sim,NA,0.0,0.0,Feminino
2016,Gestão e desenvolvimento de sistemas de informação,Sim,41,1194.0,204.0,Feminino
2017,Engenharia química e de processos,Sim,41,2184.0,210.0,Feminino
2014,Marketing e propaganda,Não,17,150.0,26.0,Feminino
2013,Serviços de transporte,Não,24,1.0,0.0,Feminino
2013,Bioquímica e biotecnologia,Sim,24,85.0,12.0,Feminino
2014,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",Não,21,252.0,0.0,Feminino
2014,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",Não,32,183.0,7.0,Feminino
2011,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",Sim,41,13.0,0.0,Feminino
2019,Ciência da educação,Não,32,49.0,0.0,Feminino
2011,Desenvolvimento de sistemas que integram software e hardware,Sim,53,39.0,1.0,Feminino
2012,Proteção de pessoas e de propriedades,Não,51,2.0,1.0,Feminino
2012,Letras,Não,43,420.0,58.0,Feminino
2011,Serviços domésticos,Não,31,209.0,32.0,Feminino
2011,"Produção agrícola, agropecuária e zootecnia",Não,21,693.0,57.0,Feminino
2012,"Produção agrícola, agropecuária e zootecnia",Não,27,657.0,32.0,Feminino
2017,"Produção agrícola, agropecuária e zootecnia",Não,51,3650.0,413.0,Feminino
2018,"Produção agrícola, agropecuária e zootecnia",Não,24,518.0,36.0,Feminino
2019,"Produção agrícola, agropecuária e zootecnia",Não,35,5988.0,918.0,Feminino
2019,Música e artes cênicas,Não,31,418.0,74.0,Feminino
2011,Psicologia,Não,42,5119.0,702.0,Feminino
2014,Psicologia,Não,35,41286.0,4780.0,Feminino
2014,Psicologia,Não,15,1436.0,187.0,Feminino
2020,Psicologia,Não,26,8987.0,765.0,Feminino
2014,"Programas interdisciplinares abrangendo negócios, administração e direito",Não,43,125.0,0.0,Feminino
2010,Formação de professores sem áreas específicas,Não,27,9505.0,1198.0,Feminino
2020,Formação de professores sem áreas específicas,Não,29,43402.0,6653.0,Feminino
2017,"Moda, design de interiores e desenho industrial",Sim,32,573.0,132.0,Feminino
2017,"Moda, design de interiores e desenho industrial",Sim,12,5.0,1.0,Feminino
2013,Eletricidade e energia,Sim,26,443.0,23.0,Feminino
2014,Processamento de alimentos,Sim,24,168.0,12.0,Feminino
2015,Processamento de alimentos,Sim,17,334.0,4.0,Feminino
2017,Processamento de alimentos,Sim,16,42.0,0.0,Feminino
2015,Veterinária,Não,35,14958.0,1161.0,Feminino
2015,Belas artes,Não,41,337.0,69.0,Feminino
2015,Ciências sociais e políticas,Não,41,1114.0,216.0,Feminino
2020,Soluções computacionais para domínios específicos,Sim,50,4.0,0.0,Feminino
2019,"Programas interdisciplinares abrangendo ciências sociais, comunicação e informação",Não,25,141.0,19.0,Feminino
2013,Produção e processos de fabricação,Sim,33,8915.0,611.0,Feminino
2017,Produção e processos de fabricação,Sim,22,275.0,34.0,Feminino
2019,Contabilidade e tributação,Não,22,2915.0,343.0,Feminino
2011,Esportes e lazer,Não,33,1.0,1.0,Feminino
2013,Esportes e lazer,Não,23,79.0,18.0,Feminino
2015,Silvicultura,Não,11,236.0,29.0,Feminino
2016,Silvicultura,Não,53,242.0,28.0,Feminino
2019,Silvicultura,Não,24,130.0,13.0,Feminino
2014,Ciência da informação e museologia,Não,35,935.0,201.0,Feminino
2018,Ciência da informação e museologia,Não,28,208.0,37.0,Feminino
2019,Arquitetura e planejamento urbano,Sim,33,6601.0,987.0,Feminino
2013,Filosofia e ética,Não,13,1.0,0.0,Feminino
2018,Filosofia e ética,Não,22,0.0,0.0,Feminino
2015,Tecnologia de diagnóstico e tratamento médico,Não,52,2342.0,446.0,Feminino
2016,Tecnologia de diagnóstico e tratamento médico,Não,51,1586.0,333.0,Feminino
2020,Tecnologia de diagnóstico e tratamento médico,Não,41,6433.0,494.0,Feminino
2016,Infraestrutura e gestão de TIC,Sim,29,138.0,18.0,Feminino
2011,Farmácia,Não,53,1918.0,345.0,Feminino
2011,Farmácia,Não,35,22887.0,4798.0,Feminino
2020,Farmácia,Não,28,1199.0,77.0,Feminino
2014,Ciências ambientais,Não,33,191.0,10.0,Feminino
2014,Ciências ambientais,Não,41,0.0,0.0,Feminino
2014,Comunicação e reportagem,Não,24,502.0,87.0,Feminino
2017,Comunicação e reportagem,Não,26,1260.0,183.0,Feminino
2014,Direito,Não,50,6597.0,635.0,Masculino
2013,Mineração e extração,Não,32,899.0,123.0,Masculino
2016,Mineração e extração,Não,15,100.0,6.0,Masculino
2017,Mineração e extração,Não,23,160.0,35.0,Masculino
2019,Mineração e extração,Não,32,289.0,38.0,Masculino
2014,Gestão e administração,Não,22,5530.0,630.0,Masculino
2014,Gestão e administração,Não,23,17327.0,1872.0,Masculino
2018,Gestão e administração,Não,42,30069.0,4984.0,Masculino
2010,Biologia,Não,25,142.0,21.0,Masculino
2010,Biologia,Não,27,90.0,14.0,Masculino
2014,Economia,Não,24,499.0,49.0,Masculino
2015,Economia,Não,23,1371.0,86.0,Masculino
2017,Economia,Não,13,613.0,36.0,Masculino
2020,Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Não,14,3.0,0.0,Masculino
2010,Produção de software,Sim,42,54.0,2.0,Masculino
2010,Secretariado e trabalhos de escritório,Não,12,8.0,1.0,Masculino
2013,Religião e teologia,Não,43,765.0,128.0,Masculino
2014,Medicina,Não,42,1839.0,255.0,Masculino
2017,Medicina,Não,28,772.0,73.0,Masculino
2013,Engenharia civil e construção,Sim,14,167.0,6.0,Masculino
2018,Engenharia civil e construção,Sim,17,2718.0,280.0,Masculino
2012,Programas interdisciplinares abrangendo educação,Não,15,67.0,0.0,Masculino
2016,Serviços de beleza,Não,11,10.0,5.0,Masculino
2017,Serviços de beleza,Não,29,43.0,6.0,Masculino
2011,Engenharia mecânica e metalurgia,Sim,23,1086.0,93.0,Masculino
2013,Engenharia mecânica e metalurgia,Sim,24,418.0,79.0,Masculino
2016,Engenharia mecânica e metalurgia,Sim,43,11488.0,887.0,Masculino
2015,Saúde pública e saúde coletiva,Não,51,46.0,1.0,Masculino
2011,Estatística,Não,35,792.0,96.0,Masculino
2013,Estatística,Não,23,173.0,19.0,Masculino
2014,Estatística,Não,33,858.0,50.0,Masculino
2014,Estatística,Não,24,97.0,10.0,Masculino
2016,Estatística,Não,43,279.0,30.0,Masculino
2017,Estatística,Não,35,1166.0,107.0,Masculino
2020,Estatística,Não,32,120.0,6.0,Masculino
2013,Materiais,Sim,13,102.0,1.0,Masculino
2010,"Produção audiovisual, de mídia e cultural",Não,21,2.0,1.0,Masculino
2016,"Produção audiovisual, de mídia e cultural",Não,31,1176.0,238.0,Masculino
2018,"Produção audiovisual, de mídia e cultural",Não,23,535.0,99.0,Masculino
2020,"Produção audiovisual, de mídia e cultural",Não,35,11042.0,2491.0,Masculino
2015,Tecnologia de proteção ambiental,Sim,53,794.0,163.0,Masculino
2019,Tecnologia de proteção ambiental,Sim,35,6761.0,1210.0,Masculino
2010,História e arqueologia,Não,22,120.0,6.0,Masculino
2017,História e arqueologia,Não,28,83.0,7.0,Masculino
2012,Odontologia,Não,22,580.0,90.0,Masculino
2012,Odontologia,Não,14,129.0,19.0,Masculino
2019,Odontologia,Não,13,1089.0,111.0,Masculino
2011,Enfermagem,Não,24,942.0,163.0,Masculino
2012,Enfermagem,Não,12,270.0,21.0,Masculino
2014,Enfermagem,Não,52,1213.0,167.0,Masculino
2017,Enfermagem,Não,53,2149.0,260.0,Masculino
2018,Enfermagem,Não,NA,0.0,0.0,Masculino
2020,Enfermagem,Não,51,846.0,113.0,Masculino
2020,Assistência a idosos e a deficientes,Não,24,6.0,0.0,Masculino
2011,Serviço social,Não,22,313.0,21.0,Masculino
2017,Serviço social,Não,53,321.0,65.0,Masculino
2019,Serviço social,Não,43,577.0,62.0,Masculino
2012,Turismo e hotelaria,Não,43,621.0,87.0,Masculino
2019,Turismo e hotelaria,Não,17,102.0,8.0,Masculino
2020,Turismo e hotelaria,Não,24,242.0,23.0,Masculino
2020,Turismo e hotelaria,Não,23,472.0,70.0,Masculino
2010,Ciências da terra,Sim,52,114.0,11.0,Masculino
2017,Ciências da terra,Sim,31,707.0,54.0,Masculino
2010,Formação de professores em áreas específicas (exceto Letras),Não,31,24330.0,4338.0,Masculino
2017,Formação de professores em áreas específicas (exceto Letras),Não,14,2015.0,210.0,Masculino
