ano;id;razao;setor;dr;en02;ap02;av01;av01_other;ginastica;vacinacao;nutricao;gestao;pcmso;pcmat;ppra;encerrar;av03;av04;av05_1;av05_1_comment;av05_2;av05_2_comment;av06;av08;av09_1;av09_2;av09_3;av09_4;av09_5;av09_6;av09_7;av10;av13;av14
2023;231060;AREAL ASA BRANCA;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Aumentou;Não, devido a outros fatores;;;;;Aumentou;;Aumentou;9;;Sim
2023;231018;ATACADÃO DO PÃO;Indústria;AC;Sim;De acordo;Outro;Proprietário;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Aumentou;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231072;BEBIDAS CRUZEIRO DO SUL LTDA;Indústria;AC;Sim;De acordo;Outro;Sócio Proprietário;Não;Sim;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Sim;Palestras e treinamentos.;Sim;Secretaria de Saúde;Não se alterou;;;Reduziu;;;Aumentou;;Não se alterou;9;Cursos com valores mais acessíveis para a indústria.;Sim
2023;231058;BOI BOM FRIGORÍFICO;Indústria;AC;Sim;De acordo;Outro;Representante Legal;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;O PGR vem com algumas orientações e especificando os pontos (problemas) que precisam ser melhorados, mas o SESI não trás as ferramentas para auxílio das soluções. É necessário que ao apontar o problema também se traga as soluções e os planos de como a empresa precisa fazer para solucionar.;Sim
2023;231011;BR TOWERS INCORPORAÇÃO SPE LTDA;Construção;AC;Sim;De acordo;Supervisor Coordenador de área de Saúde e Segurança do Trabalho;;Não;Sim;Não;Não;Sim;Sim;Não;Não;Grande;Aumentou;Não;;Não;;Não se alterou;;;Não se alterou;;;Aumentou;Melhorou;;9;Informa que falta mão de obra para o SESI e que isso causa um pequeno atraso na entrega dos programas. E informa que isso não altera a qualidade do serviço prestado.;Sim
2023;231028;BURITI ALIMENTOS EIRELI;Indústria;AC;Sim;De acordo;Outro;Recursos Humanos;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Reduziu;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;;Sim
2023;231071;CAFÉ CONTRI IMP E EXP LTDA;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Não;;Não;;Reduziu;;;;;;Aumentou;;Não se alterou;10;;Sim
2023;231003;CAFÉ VOVÓ PUREZA;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Sim;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Reduziu;;;Reduziu;;;Aumentou;;Aumentou muito;10;;Sim
2023;231013;CALVIN KLEIN JEANS;Comércio;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Grande;Aumentou;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231005;CERAMICA ASA BRANCA;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;8;Sugere que aumentem o número de dias das consultas médicas.;Sim
2023;231015;CERAMICA DALLAS INDUSTRIA COMERCIO E SERVICOS LTDA;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Não;Não;Sim;Não;Micro ou Micro ou pequena;Reduziu muito;Não;;Não;;Reduziu;;;;;;;;Não se alterou;10;;Sim
2023;231048;CERAMICA JOAO DE BARRO INDUSTRIA E COMERCIO EIRELI;Indústria;AC;Sim;De acordo;Outro;Assistente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Reduziu;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;8;;Sim
2023;231002;CHALÉ DO TRIGO PÃES E DOCES;Indústria;AC;Sim;De acordo;Outro;Assistente Administrativo;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Sim;Cesta básica.;Não;;Aumentou;Não, devido a outros fatores;;Aumentou;Melhorou;;Não se alterou;;Aumentou;8;;Sim
2023;231049;COMPLEXO INDUSTRIAL FLORESTAL XAPURI;Indústria;AC;Sim;De acordo;Outro;Engenheiro;Não;Não;Não;Não;Sim;Não;Sim;Não;Grande;Reduziu muito;Não;;Não;;Não sabe;;;;;;Não se alterou;;Não se alterou;8;Melhorar o corpo técnico que deixam a desejar. Os técnicos precisam ouvir o pessoal da fábrica para uma troca e melhoria dos serviços.;Sim
2023;231061;CONSTRUTORA ASA BRANCA;Comércio;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Aumentou;Não, devido a outros fatores;;;;;Aumentou;;Aumentou;9;;Sim
2023;231029;COOPERACRE FILIAL 1;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não sabe;;;;;;Não se alterou;;Não sabe;10;;Sim
2023;231031;COOPERACRE FILIAL 2;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não sabe;;;;;;Não se alterou;;Não sabe;10;;Sim
2023;231030;COOPERACRE FILIAL 3;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não sabe;;;;;;Não se alterou;;Não sabe;10;;Sim
2023;231032;COOPERACRE FILIAL 4;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não sabe;;;;;;Não se alterou;;Não sabe;10;;Sim
2023;231033;COOPERACRE MATRIZ;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não sabe;;;;;;Não se alterou;;Não sabe;10;;Sim
2023;231050;CZS ENGENHARIA;Construção;AC;Sim;De acordo;Outro;Técnico de Segurança do Trabalho;Não;Sim;Não;Não;Não;Não;Não;Não;Média;Reduziu muito;Não;;Não;;Reduziu;;;Não se alterou;;;;;;10;;Sim
2023;231038;DISTRIBUIDORA EQUADOR DE PRODUTOS DE PETROLEO S.A.;Comércio;AC;Sim;De acordo;Outro;Coordenador;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Reduziu;Sim;Palestras e treinamentos.;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;7;;Sim
2023;231051;DJ IMPRESSAO DIGITAL;Comércio;AC;Sim;De acordo;Outro;GERENTE;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Aumentou;10;;Sim
2023;231052;DOM PORQUITO AGROINDUSTRIAL;Indústria;AC;Sim;De acordo;Outro;Gerente de RH;Não;Não;Não;Não;Sim;Não;Sim;Não;Grande;Não se alterou;Sim;Acompanhamento.;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;Quanto ao PCMSO foi alterada à forma do serviço e faltou comunicação com a empresa o que gerou transtorno, mas já solucionado.;Sim
2023;231006;FAZENDA MIRAGINA;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;8;A respondente informa que todos os serviços são cobrados e que antigamente os mesmos serviços eram grátis.;Sim
2023;231021;FINA ESTAMPA;Indústria;AC;Sim;De acordo;Outro;Gerente de departamento pessoal;Não;Sim;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Sim;Palestras e treinamentos.;Não;;Aumentou;Não, devido a outros fatores;;Não se alterou;;;Aumentou;;Aumentou;10;;Sim
2023;231024;FOX LUMBER IND. COMERCIO CONTRUÇÃO E SERVIÇOS LTDA;Indústria;AC;Sim;De acordo;Outro;Proprietário;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Reduziu;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231067;GABBY MALHARIA;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Aumentou;8;;Sim
2023;231053;Gráfica Globo;Indústria;AC;Sim;De acordo;Outro;Administrador;Não;Sim;Não;Não;Sim;Não;Não;Não;Média;Reduziu muito;Não;;Sim;Não sabe informar;Reduziu muito;;;Reduziu muito;;;Aumentou;;;10;Não contratou em 2023 devido ao preço muito alto.;Sim
2023;231068;H GELATO SORVETES;Indústria;AC;Sim;De acordo;Outro;Analista de Educação;Não;Sim;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;Não se alterou;;;Aumentou;;Aumentou;10;;Sim
2023;231054;IMPACTO INDUSTRIA TERRAPLENAGEM E CONSTRUÇÃO LTDA;Indústria;AC;Sim;De acordo;Outro;Auxiliar Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;;Sim
2023;231036;INDUSTRIA DE SORVETE BONECO DE NEVE;Indústria;AC;Sim;De acordo;Outro;Diretora Geral;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não se alterou;;;Não se alterou;Não se alterou;;Não se alterou;;Não se alterou;1;Solicita que o PGR seja feito com mais clareza, que passou informações erradas e que o SESI não corrigiu.;Sim
2023;231007;IPÊ LOTEAMENTOS LTDA;Construção;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Sim;Não;Não;Sim;Sim;Não;Não;Grande;Aumentou;Sim;Acompanhamento dentro das obras.;Não;;Reduziu;;;Reduziu;;;Não se alterou;Melhorou;;9;;Sim
2023;231055;IVEL ACRE;Indústria;AC;Sim;De acordo;Outro;Assistente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Grande;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;;Sim
2023;231056;J G TERCAS;Indústria;AC;Sim;De acordo;Outro;Gerente;Não;Sim;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Aumentou;Sim, por causa da COVID 19;;Reduziu;;;Aumentou;;Aumentou;10;;Sim
2023;231057;LAMINADOS TRIUNFO LTDA;Indústria;AC;Sim;De acordo;Outro;Engenheiro de Segurança do Trabalho;Não;Não;Não;Não;Sim;Não;Sim;Não;Grande;Reduziu muito;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;8;Melhorar a qualificação e a capacitação da mão de obra SESI, principalmente dos funcionários que fazem as vistorias. É necessário que o funcionário técnico (SESI) tenha vivência dentro da indústria para implantar projetos de forma mais eficaz.;Sim
2023;231004;LATICÍNIOS BURITI LTDA - INDÚSTRIA;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;8;;Sim
2023;231040;M. F. C. F. DE SOUZA - ME;Serviços;AC;Sim;De acordo;Outro;Proprietário;Não;Não;Não;Não;Sim;Não;Não;Não;Média;Reduziu;Não;;Não;;Não se alterou;;;;;;Não se alterou;;;10;;Sim
2023;231023;MACEDO DIAGNOSTICOS & IMAGEM LTDA - EPP;Serviços;AC;Sim;De acordo;Outro;Gerente Ficeiro;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Reduziu;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231062;MALHARIA MORIA;Indústria;AC;Sim;De acordo;Outro;Gerente;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231009;MAV CONSTRUTORA LTDA;Indústria;AC;Sim;De acordo;Outro;Auxiliar Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;;Sim
2023;231064;MULTGRAF INDÚSTRIA GRÁFICA EDITORA E COMERCIO EIRELI;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Sim;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Não;;Sim;Não sabe informar;Não se alterou;;;Não se alterou;;;Não se alterou;;Não se alterou;8;Melhorar o valor sem incentivo (desconto), por se tratar de serviços prestados para a indústria é necessário que o valor seja abaixo do mercado de concorrência.;Sim
2023;231001;NASCIBELL INDUSTRIA MOVELEIRA;Indústria;AC;Sim;De acordo;Outro;Proprietário;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou Micro ou pequena;Reduziu;Não;;Não;;Não se alterou;;;;;;Não se alterou;;;5;;Sim
2023;231026;P. F. B. PACHECO - EIRELI;Comércio;AC;Sim;De acordo;Outro;Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Reduziu;;;;;;Aumentou;;Aumentou;10;Satisfeita com os serviços do SESI.;Sim
2023;231014;P.L MARTINI;Indústria;AC;Sim;De acordo;Outro;Proprietário;Não;Sim;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;Não se alterou;;;Aumentou;;Aumentou;10;Gostaria que o SESI também oferecesse cursos na área de indústria gráfica.;Sim
2023;231034;Panificadora Boa União;Indústria;AC;Sim;De acordo;Outro;Sócio Proprietário;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou Micro ou pequena;Aumentou;Não;;Sim;Programa Qualivida;Não se alterou;;;;;;Não se alterou;;;9;;Não
2023;231066;PANIFICADORA BOA VISTA;Indústria;AC;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Reduziu;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231016;PANIFICADORA VINICIUS;Comércio;AC;Sim;De acordo;Outro;Gerente;Não;Não;Não;Não;Sim;Não;Não;Não;Média;Não se alterou;Sim;Palestras.;Não;;Não se alterou;;;;;;Aumentou;;;10;;Sim
2023;231047;PAPELARIA GLOBO;Comércio;AC;Sim;De acordo;Outro;Assistente Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;;Sim
2023;231065;Portonet Serviços de Telecomunicação LTDA;Serviços;AC;Sim;De acordo;Outro;GERENTE;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Aumentou;Sim;Reuniões internas que focam na utilização de EPIs para redução de acidentes.;Não;;Não se alterou;;;;;;Não se alterou;;Não sabe;5;;Sim
2023;231070;PREMAC ENGENHARIA;Indústria;AC;Sim;De acordo;Outro;Representante Legal;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Reduziu;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Aumentou;8;Melhorar o valor em relação ao mercado.;Sim
2023;231022;PRORAD DIAGNOSTICOS LTDA - EPP;Serviços;AC;Sim;De acordo;Outro;Gerente Ficeiro;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Reduziu;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;;Sim
2023;231042;Rádio e Tv Juruá;Serviços;AC;Sim;De acordo;Outro;Gerente Ficeiro;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Aumentou;9;;Sim
2023;231063;REDE AMAZONICA-RIO BRANCO;Comércio;AC;Sim;De acordo;Outro;Analista Adminstrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Grande;Reduziu;Sim;Palestras e treinamentos.;Não;;Não se alterou;;;;;;Não se alterou;;Aumentou;10;;Sim
2023;231046;S BANDEIRA;Comércio;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;9;;Sim
2023;231035;SORVETERIA E PIZZARIA BONECO DE NEVE;Indústria;AC;Sim;De acordo;Outro;Diretora Geral;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Média;Aumentou;Não;;Não;;Não se alterou;;;Não se alterou;Não se alterou;;Não se alterou;;Não se alterou;1;Solicita que o PGR seja feito com mais clareza, que passou informações erradas e que o SESI não corrigiu.;Sim
2023;231019;STAGIO FEMME;Indústria;AC;Sim;De acordo;Outro;Gerente de departamento pessoal;Não;Sim;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Sim;Palestras e treinamentos.;Não;;Aumentou;Não, devido a outros fatores;;Não se alterou;;;Aumentou;;Aumentou;10;;Sim
2023;231020;STAGIO MODAS;Indústria;AC;Sim;De acordo;Outro;Gerente de departamento pessoal;Não;Sim;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Sim;Palestras e treinamentos.;Não;;Aumentou;Não, devido a outros fatores;;Não se alterou;;;Aumentou;;Aumentou;10;;Sim
2023;231073;TL ENGENHARIA EIRELI;Comércio;AC;Sim;De acordo;Outro;Analista de RH;Não;Sim;Não;Não;Sim;Não;Sim;Não;Média;Não se alterou;Não;;Não;;Reduziu;;;Não se alterou;;;Não se alterou;;Aumentou;9;;Sim
2023;231069;TOP ODONTO;Serviços;AC;Sim;De acordo;Outro;GERENTE;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;4;Comunicação difícil através de todos os canais. Não existe um ponto focal para auxiliar à empresa, passam vários contatos diferentes gerando várias informações desencontradas, ficando difícil para as resoluções das demandas na empresa.;Sim
2023;231037;VERÁGUA;Indústria;AC;Não;De acordo;;;Não;Não;Não;Não;Não;Não;Não;Sim;Micro ou pequena;;;;;;;;;;;;;;;;;
2023;231043;VIVER ENGENHARIA LTDA;Indústria;AC;Sim;De acordo;Gerente ou Diretor de Recursos Humanos;;Não;Não;Não;Não;Sim;Não;Sim;Não;Média;Reduziu;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;10;;Sim
2023;231044;ZERO GRAU SORVETES MANOEL JULIÃO;Indústria;AC;Não;De acordo;;;Não;Não;Não;Não;Não;Não;Não;Sim;Micro ou Micro ou pequena;;;;;;;;;;;;;;;;;
2023;231045;ZERO GRAU SORVETES MANOEL JULIÃO;Indústria;AC;Não;De acordo;;;Não;Não;Não;Não;Não;Não;Não;Sim;Micro ou Micro ou pequena;;;;;;;;;;;;;;;;;
2023;231077;A QUATRO ARQUITETURA E CONSTRUÇÕES LTDA;Construção;AL;Sim;De acordo;Outro;Auxiliar de Escritório;Não;Não;Não;Não;Sim;Não;Não;Não;Média;Aumentou;Não;;Não;;Aumentou;Não, devido a outros fatores;;;;;Não se alterou;;;10;Até o momento tem atendido com excelência.;Sim
2023;231078;ACIOLI INDUSTRIA E COMERCIO DE PRODUTOS DESCARTAVEIS EIRELI;Indústria;AL;Sim;De acordo;Outro;Encarregado Administrativo;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Aumentou;;;10;Tem um bom atendimento.;Sim
2023;231120;ACQUAPOÇOS - SEDE;Serviços;AL;Sim;De acordo;Gerente ou Diretor de área de Saúde e Segurança do Trabalho;;Não;Não;Não;Não;Não;Não;Sim;Não;Média;Não se alterou;Sim;Campanha.;Não;;Reduziu;;;;;;;;Reduziu;10;Satisfeito com os serviços do SESI.;Sim
2023;231145;Agreste engenharia;Serviços;AL;Não;De acordo;;;Não;Não;Não;Não;Não;Não;Não;Sim;Micro ou pequena;;;;;;;;;;;;;;;;;
2023;231111;AGRICOM AGRO INDUSTRIA E COMERCIO ANADIENSE LTDA;Indústria;AL;Sim;De acordo;Outro;Sócio Proprietário;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou muito;10;;Sim
2023;231091;AGUA DE COCO ALAGOANA;Indústria;AL;Sim;De acordo;Outro;Sócio Proprietário;Não;Não;Não;Não;Não;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Reduziu muito;;;;;;;;Aumentou muito;10;Aumente a formação de profissionais para se ter na região e não precisar trazer de fora para realizar a manutenção em máquinas.;Sim
2023;231143;ÁGUAS MINERAIS DO NORDESTE LTDA;Indústria;AL;Sim;De acordo;Outro;Encarregado de DP;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou pequena;Reduziu muito;Não;;Não;;Não se alterou;;;;;;Aumentou;;;10;;Sim
2023;231152;AMAFIL ALAGOAS;Indústria;AL;Sim;De acordo;Outro;Técnico de Segurança do Trabalho;Não;Não;Não;Não;Não;Não;Sim;Não;Grande;Aumentou;Sim;Palestra e treinamento saúde do homem e da mulher.;Não;;Reduziu;;;;;;;;Aumentou muito;8;;Sim
2023;231164;ANDREA DORIA;Comércio;AL;Sim;De acordo;Outro;Gerente Ficeiro;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou pequena;Aumentou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;Não se alterou;8;;Sim
2023;231094;ASTRAL PRESENTES PONTA VERDE;Comércio;AL;Sim;De acordo;Outro;Gerente Administrativo;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;;8;;Sim
2023;231100;ATELIE ESCOLA CRIAR;Indústria;AL;Sim;De acordo;Outro;Gerente geral;Não;Não;Não;Não;Não;Não;Não;Sim;Micro ou Micro ou pequena;;;;;;;;;;;;;;;;;
2023;231080;BE - COMERCIO DE PRODUTOS PARA ANIMAIS LTDA;Indústria;AL;Sim;De acordo;Outro;Sócio;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;;8;;Sim
2023;231076;BRK AMBIENTAL;Indústria;AL;Sim;De acordo;Outro;Encarregado Administrativo;Não;Não;Não;Não;Sim;Não;Não;Não;Grande;Reduziu muito;Não;;Não;;Reduziu muito;;;;;;Aumentou muito;;;9;Melhorar o tempo de resposta no atendimento e a solução do problema. E o tempo de atendimento em clínica para o funcionário.;Sim
2023;231101;BX COMERCIO E SERVICOS;Serviços;AL;Sim;De acordo;Outro;Sócio Proprietário;Não;Não;Não;Não;Sim;Não;Não;Não;Micro ou pequena;Não se alterou;Não;;Não;;Não se alterou;;;;;;Não se alterou;;;9;;Sim
2023;231155;C M Galpões pré-moldados LTDA;Indústria;AL;Sim;De acordo;Outro;Auxiliar Administrativo;Não;Não;Não;Não;Sim;Não;Sim;Não;Micro ou Micro ou pequena;Reduziu;Não;;Não;;Não se alterou;;;;;;Aumentou;;Aumentou;10;;Sim
